NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=610.213s, table=0, n_packets=10, n_bytes=792, idle_age=571, priority=0 actions=drop
 cookie=0x0, duration=579.705s, table=0, n_packets=3, n_bytes=230, idle_age=572, priority=1,in_port=65 actions=resubmit(,1)
 cookie=0x0, duration=569.639s, table=0, n_packets=3, n_bytes=230, idle_age=563, priority=1,in_port=68 actions=resubmit(,1)
 cookie=0x0, duration=577.675s, table=0, n_packets=2, n_bytes=140, idle_age=570, priority=1,in_port=66 actions=resubmit(,1)
 cookie=0x0, duration=573.708s, table=0, n_packets=4, n_bytes=300, idle_age=565, priority=1,in_port=67 actions=resubmit(,1)
 cookie=0x0, duration=610.360s, table=0, n_packets=1, n_bytes=98, idle_age=349, priority=1,in_port=64 actions=resubmit(,10)
 cookie=0x0, duration=610.062s, table=1, n_packets=0, n_bytes=0, idle_age=610, priority=0 actions=drop
 cookie=0x0, duration=577.520s, table=1, n_packets=2, n_bytes=140, idle_age=570, priority=1,in_port=66,vlan_tci=0x0000 actions=mod_vlan_vid:2,resubmit(,10)
 cookie=0x0, duration=573.553s, table=1, n_packets=4, n_bytes=300, idle_age=565, priority=1,in_port=67,vlan_tci=0x0000 actions=mod_vlan_vid:4,resubmit(,10)
 cookie=0x0, duration=579.544s, table=1, n_packets=3, n_bytes=230, idle_age=572, priority=1,in_port=65,vlan_tci=0x0000 actions=mod_vlan_vid:1,resubmit(,10)
 cookie=0x0, duration=569.490s, table=1, n_packets=3, n_bytes=230, idle_age=563, priority=1,in_port=68,vlan_tci=0x0000 actions=mod_vlan_vid:3,resubmit(,10)
 cookie=0x0, duration=561.757s, table=2, n_packets=0, n_bytes=0, idle_age=561, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:12:58:cb actions=load:0x40->NXM_NX_REG0[],resubmit(,21)
 cookie=0x0, duration=557.453s, table=2, n_packets=0, n_bytes=0, idle_age=557, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_dst=fa:16:3e:ef:fa:e8 actions=load:0x40->NXM_NX_REG0[],resubmit(,21)
 cookie=0x0, duration=609.765s, table=2, n_packets=0, n_bytes=0, idle_age=609, priority=0,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,21)
 cookie=0x0, duration=609.912s, table=2, n_packets=1, n_bytes=98, idle_age=349, priority=0,dl_dst=00:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,20),resubmit(,21)
 cookie=0x0, duration=608.876s, table=3, n_packets=1, n_bytes=98, idle_age=349, priority=0 actions=resubmit(,2)
 cookie=0x0, duration=568.863s, table=3, n_packets=0, n_bytes=0, idle_age=568, priority=1,vlan_tci=0x0003/0x0fff,dl_dst=fa:16:3e:b0:f0:55 actions=resubmit(,30)
 cookie=0x0, duration=578.932s, table=3, n_packets=0, n_bytes=0, idle_age=578, priority=1,vlan_tci=0x0001/0x0fff,dl_dst=fa:16:3e:09:b3:0d actions=resubmit(,30)
 cookie=0x0, duration=572.939s, table=3, n_packets=0, n_bytes=0, idle_age=572, priority=1,vlan_tci=0x0004/0x0fff,dl_dst=fa:16:3e:85:b4:5a actions=resubmit(,30)
 cookie=0x0, duration=576.886s, table=3, n_packets=0, n_bytes=0, idle_age=576, priority=1,vlan_tci=0x0002/0x0fff,dl_dst=fa:16:3e:a8:1a:ba actions=resubmit(,30)
 cookie=0x0, duration=609.024s, table=3, n_packets=12, n_bytes=900, idle_age=563, priority=10,dl_dst=01:00:00:00:00:00/01:00:00:00:00:00 actions=resubmit(,21)
 cookie=0x0, duration=609.467s, table=4, n_packets=13, n_bytes=998, idle_age=349, priority=0 actions=resubmit(,3)
 cookie=0x0, duration=561.594s, table=4, n_packets=0, n_bytes=0, idle_age=561, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_src=fa:16:3e:12:58:cb actions=load:0x1->NXM_NX_REG2[],resubmit(,5)
 cookie=0x0, duration=557.302s, table=4, n_packets=0, n_bytes=0, idle_age=557, priority=1,ip,vlan_tci=0x0005/0x0fff,dl_src=fa:16:3e:ef:fa:e8 actions=load:0x2->NXM_NX_REG2[],resubmit(,5)
 cookie=0x0, duration=609.321s, table=5, n_packets=0, n_bytes=0, idle_age=609, priority=0 actions=drop
 cookie=0x0, duration=572.782s, table=5, n_packets=0, n_bytes=0, idle_age=572, priority=1,ip,reg2=0x2,nw_dst=10.10.1.0/24 actions=mod_dl_src:fa:16:3e:85:b4:5a,mod_vlan_vid:4,resubmit(,3)
 cookie=0x0, duration=576.736s, table=5, n_packets=0, n_bytes=0, idle_age=576, priority=1,ip,reg2=0x1,nw_dst=10.10.2.0/24 actions=mod_dl_src:fa:16:3e:a8:1a:ba,mod_vlan_vid:2,resubmit(,3)
 cookie=0x0, duration=568.704s, table=5, n_packets=0, n_bytes=0, idle_age=568, priority=1,ip,reg2=0x2,nw_dst=10.10.2.0/24 actions=mod_dl_src:fa:16:3e:b0:f0:55,mod_vlan_vid:3,resubmit(,3)
 cookie=0x0, duration=578.768s, table=5, n_packets=0, n_bytes=0, idle_age=578, priority=1,ip,reg2=0x1,nw_dst=10.10.1.0/24 actions=mod_dl_src:fa:16:3e:09:b3:0d,mod_vlan_vid:1,resubmit(,3)
 cookie=0x0, duration=609.616s, table=10, n_packets=13, n_bytes=998, idle_age=349, priority=1 actions=learn(table=20,hard_timeout=300,priority=1,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],load:NXM_OF_IN_PORT[]->NXM_NX_REG0[0..15]),resubmit(,4)
 cookie=0x0, duration=577.199s, table=21, n_packets=0, n_bytes=0, idle_age=577, priority=1,reg0=0x42,vlan_tci=0x0002/0x0fff actions=strip_vlan,output:66
 cookie=0x0, duration=577.044s, table=21, n_packets=2, n_bytes=140, idle_age=570, priority=1,reg0=0,vlan_tci=0x0002/0x0fff actions=output:64,strip_vlan,output:66
 cookie=0x0, duration=569.021s, table=21, n_packets=3, n_bytes=230, idle_age=563, priority=1,reg0=0,vlan_tci=0x0003/0x0fff actions=output:64,strip_vlan,output:68
 cookie=0x0, duration=573.250s, table=21, n_packets=0, n_bytes=0, idle_age=573, priority=1,reg0=0x43,vlan_tci=0x0004/0x0fff actions=strip_vlan,output:67
 cookie=0x0, duration=579.084s, table=21, n_packets=3, n_bytes=230, idle_age=572, priority=1,reg0=0,vlan_tci=0x0001/0x0fff actions=output:64,strip_vlan,output:65
 cookie=0x0, duration=579.239s, table=21, n_packets=0, n_bytes=0, idle_age=579, priority=1,reg0=0x41,vlan_tci=0x0001/0x0fff actions=strip_vlan,output:65
 cookie=0x0, duration=569.178s, table=21, n_packets=0, n_bytes=0, idle_age=569, priority=1,reg0=0x44,vlan_tci=0x0003/0x0fff actions=strip_vlan,output:68
 cookie=0x0, duration=573.099s, table=21, n_packets=4, n_bytes=328, idle_age=349, priority=1,reg0=0,vlan_tci=0x0004/0x0fff actions=output:64,strip_vlan,output:67
 cookie=0x0, duration=609.172s, table=21, n_packets=0, n_bytes=0, idle_age=609, priority=0,reg0=0x40 actions=output:64
 cookie=0x0, duration=572.617s, table=30, n_packets=0, n_bytes=0, idle_age=572, priority=1,ip,vlan_tci=0x0004/0x0fff,nw_src=10.10.1.0/24 actions=load:0x2->NXM_NX_REG1[],resubmit(,35)
 cookie=0x0, duration=578.615s, table=30, n_packets=0, n_bytes=0, idle_age=578, priority=1,ip,vlan_tci=0x0001/0x0fff,nw_src=10.10.1.0/24 actions=load:0x1->NXM_NX_REG1[],resubmit(,35)
 cookie=0x0, duration=568.544s, table=30, n_packets=0, n_bytes=0, idle_age=568, priority=1,ip,vlan_tci=0x0003/0x0fff,nw_src=10.10.2.0/24 actions=load:0x2->NXM_NX_REG1[],resubmit(,35)
 cookie=0x0, duration=576.585s, table=30, n_packets=0, n_bytes=0, idle_age=576, priority=1,ip,vlan_tci=0x0002/0x0fff,nw_src=10.10.2.0/24 actions=load:0x1->NXM_NX_REG1[],resubmit(,35)
