NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=267.711s, table=21, n_packets=0, n_bytes=0, idle_age=267, priority=1,arp,dl_vlan=1,arp_tpa=10.10.1.1 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:09:b3:0d,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e09b30d->NXM_NX_ARP_SHA[],load:0xa0a0101->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=269.109s, table=21, n_packets=0, n_bytes=0, idle_age=269, priority=1,arp,dl_vlan=1,arp_tpa=10.10.1.3 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:bb:b3:6a,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ebbb36a->NXM_NX_ARP_SHA[],load:0xa0a0103->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=258.576s, table=21, n_packets=0, n_bytes=0, idle_age=258, priority=1,arp,dl_vlan=3,arp_tpa=10.10.2.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:ce:a9:e9,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ecea9e9->NXM_NX_ARP_SHA[],load:0xa0a0202->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=257.633s, table=21, n_packets=0, n_bytes=0, idle_age=257, priority=1,arp,dl_vlan=3,arp_tpa=10.10.2.1 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:b0:f0:55,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163eb0f055->NXM_NX_ARP_SHA[],load:0xa0a0201->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=268.641s, table=21, n_packets=0, n_bytes=0, idle_age=268, priority=1,arp,dl_vlan=1,arp_tpa=10.10.1.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:9e:3f:91,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e9e3f91->NXM_NX_ARP_SHA[],load:0xa0a0102->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=262.635s, table=21, n_packets=0, n_bytes=0, idle_age=262, priority=1,arp,dl_vlan=4,arp_tpa=10.10.1.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:50:b9:dd,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163e50b9dd->NXM_NX_ARP_SHA[],load:0xa0a0102->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=267.074s, table=21, n_packets=0, n_bytes=0, idle_age=267, priority=1,arp,dl_vlan=2,arp_tpa=10.10.2.3 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:cd:bc:43,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ecdbc43->NXM_NX_ARP_SHA[],load:0xa0a0203->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=266.592s, table=21, n_packets=0, n_bytes=0, idle_age=266, priority=1,arp,dl_vlan=2,arp_tpa=10.10.2.2 actions=move:NXM_OF_ETH_SRC[]->NXM_OF_ETH_DST[],mod_dl_src:fa:16:3e:c3:fb:2a,load:0x2->NXM_OF_ARP_OP[],move:NXM_NX_ARP_SHA[]->NXM_NX_ARP_THA[],move:NXM_OF_ARP_SPA[]->NXM_OF_ARP_TPA[],load:0xfa163ec3fb2a->NXM_NX_ARP_SHA[],load:0xa0a0202->NXM_OF_ARP_SPA[],IN_PORT
 cookie=0x0, duration=304.917s, table=22, n_packets=0, n_bytes=0, idle_age=304, priority=0 actions=drop
 cookie=0x0, duration=251.471s, table=22, n_packets=0, n_bytes=0, idle_age=251, priority=1,dl_vlan=5 actions=strip_vlan,set_tunnel:0x138a,output:4,output:5
 cookie=0x0, duration=287.420s, table=22, n_packets=3, n_bytes=230, idle_age=254, hard_age=262, priority=1,dl_vlan=4 actions=strip_vlan,set_tunnel:0x138b,output:5,output:4
 cookie=0x0, duration=287.420s, table=22, n_packets=3, n_bytes=230, idle_age=252, hard_age=258, priority=1,dl_vlan=3 actions=strip_vlan,set_tunnel:0x138c,output:5,output:4
 cookie=0x0, duration=289.462s, table=22, n_packets=2, n_bytes=140, idle_age=259, hard_age=266, priority=1,dl_vlan=2 actions=strip_vlan,set_tunnel:0x1389,output:5,output:4
 cookie=0x0, duration=291.513s, table=22, n_packets=3, n_bytes=230, idle_age=261, hard_age=268, priority=1,dl_vlan=1 actions=strip_vlan,set_tunnel:0x1388,output:5,output:4
 cookie=0x0, duration=305.386s, table=50, n_packets=1, n_bytes=98, idle_age=38, priority=1,ip actions=learn(table=60,hard_timeout=300,priority=1,eth_type=0x800,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],NXM_OF_IP_DST[]=NXM_OF_IP_SRC[],load:0->NXM_OF_VLAN_TCI[],load:NXM_NX_TUN_ID[]->NXM_NX_TUN_ID[],output:NXM_OF_IN_PORT[]),output:1
 cookie=0x0, duration=305.228s, table=50, n_packets=0, n_bytes=0, idle_age=305, priority=1,arp actions=learn(table=60,hard_timeout=300,priority=2,eth_type=0x806,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],NXM_OF_ARP_TPA[]=NXM_OF_ARP_SPA[],load:0->NXM_OF_VLAN_TCI[],load:NXM_NX_TUN_ID[]->NXM_NX_TUN_ID[],output:NXM_OF_IN_PORT[]),output:1
 cookie=0x0, duration=301.703s, table=51, n_packets=0, n_bytes=0, idle_age=301, priority=1,ip actions=learn(table=61,hard_timeout=300,priority=1,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],eth_type=0x800,NXM_OF_IP_DST[]=NXM_OF_IP_SRC[],load:0->NXM_OF_VLAN_TCI[],load:NXM_NX_TUN_ID[]->NXM_NX_TUN_ID[],output:NXM_OF_IN_PORT[]),output:2
 cookie=0x0, duration=301.546s, table=51, n_packets=0, n_bytes=0, idle_age=301, priority=1,arp actions=learn(table=61,hard_timeout=300,priority=1,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],eth_type=0x806,NXM_OF_ARP_TPA[]=NXM_OF_ARP_SPA[],load:0->NXM_OF_VLAN_TCI[],load:NXM_NX_TUN_ID[]->NXM_NX_TUN_ID[],output:NXM_OF_IN_PORT[]),output:2
 cookie=0x0, duration=301.380s, table=52, n_packets=0, n_bytes=0, idle_age=301, priority=1,ip actions=learn(table=61,hard_timeout=300,priority=1,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],eth_type=0x800,NXM_OF_IP_DST[]=NXM_OF_IP_SRC[],output:NXM_OF_IN_PORT[]),output:2
 cookie=0x0, duration=301.201s, table=52, n_packets=0, n_bytes=0, idle_age=301, priority=1,arp actions=learn(table=61,hard_timeout=300,priority=1,NXM_OF_VLAN_TCI[0..11],NXM_OF_ETH_DST[]=NXM_OF_ETH_SRC[],eth_type=0x806,NXM_OF_ARP_TPA[]=NXM_OF_ARP_SPA[],output:NXM_OF_IN_PORT[]),output:2
 cookie=0x0, duration=305.076s, table=60, n_packets=0, n_bytes=0, idle_age=305, priority=0 actions=resubmit(,22)
 cookie=0x0, duration=268.327s, table=60, n_packets=0, n_bytes=0, idle_age=268, priority=2,dl_vlan=1,dl_dst=fa:16:3e:9e:3f:91 actions=strip_vlan,set_tunnel:0x1388,output:5
 cookie=0x0, duration=266.758s, table=60, n_packets=0, n_bytes=0, idle_age=266, priority=2,dl_vlan=2,dl_dst=fa:16:3e:cd:bc:43 actions=strip_vlan,set_tunnel:0x1389,output:4
 cookie=0x0, duration=258.739s, table=60, n_packets=0, n_bytes=0, idle_age=258, priority=2,dl_vlan=3,dl_dst=fa:16:3e:de:ed:12 actions=strip_vlan,set_tunnel:0x138c,output:4
 cookie=0x0, duration=262.326s, table=60, n_packets=0, n_bytes=0, idle_age=262, priority=2,dl_vlan=4,dl_dst=fa:16:3e:50:b9:dd actions=strip_vlan,set_tunnel:0x138b,output:5
 cookie=0x0, duration=262.791s, table=60, n_packets=0, n_bytes=0, idle_age=262, priority=2,dl_vlan=4,dl_dst=fa:16:3e:13:5f:2d actions=strip_vlan,set_tunnel:0x138b,output:4
 cookie=0x0, duration=258.259s, table=60, n_packets=0, n_bytes=0, idle_age=258, priority=2,dl_vlan=3,dl_dst=fa:16:3e:ce:a9:e9 actions=strip_vlan,set_tunnel:0x138c,output:5
 cookie=0x0, duration=268.800s, table=60, n_packets=0, n_bytes=0, idle_age=268, priority=2,dl_vlan=1,dl_dst=fa:16:3e:bb:b3:6a actions=strip_vlan,set_tunnel:0x1388,output:4
 cookie=0x0, duration=266.276s, table=60, n_packets=0, n_bytes=0, idle_age=266, priority=2,dl_vlan=2,dl_dst=fa:16:3e:c3:fb:2a actions=strip_vlan,set_tunnel:0x1389,output:5
 cookie=0x0, duration=38.967s, table=60, n_packets=0, n_bytes=0, hard_timeout=300, idle_age=38, priority=1,ip,vlan_tci=0x0004/0x0fff,dl_dst=fa:16:3e:50:b9:dd,nw_dst=10.10.1.2 actions=load:0->NXM_OF_VLAN_TCI[],load:0x138b->NXM_NX_TUN_ID[],output:5
